Company Name,Salary,Rating,Reported Salaries,Designation
Google,15.0,4.4,93,Data Scientist
Google,10.0,4.4,109,Data Analyst
XcelTec,2.31,4.8,3,Quality Assurance
Adobe,10.84,4.3,321,Software Engineer
Intellect Design Arena,12.0,4.0,19,Data Scientist
Virtusa,7.0,3.7,3,Machine Learning Engineer
Google,24.5,4.4,1842,Software Engineer
XYZ,6.0,3.8,33,Data Analyst
GS Lab,5.5,3.8,313,Software Engineer
MathCo,8.0,3.5,24,Data Engineer
HSBC Software Development India,8.0,4.0,437,Software Engineer
Impact Analytics,7.4,3.6,59,Data Scientist
Capgemini,8.0,3.9,109,Data Scientist
Exela Technologies,2.0,3.8,3,Quality Assurance
Affine,8.0,3.8,18,Data Engineer
Monsoon (India),7.34,4.2,6,Machine Learning Engineer
Virtusa,5.65,3.7,652,Software Engineer
First Student,4.57,3.9,11,Machine Learning Engineer
SAP,16.5,4.3,19,Data Scientist
NTT DATA,4.0,3.9,294,Software Engineer
Tech Mahindra,4.0,3.6,4754,Software Engineer
CitiusTech,4.0,3.5,3,Quality Assurance
SAP,12.12,4.3,6,Quality Assurance
Samsung R&D Institute India - Noida,8.0,3.4,3,Quality Assurance
DBS Bank,11.46,4.0,18,Data Engineer
ITC Infotech,5.4,3.8,5,Quality Assurance
Nagarro,6.0,4.0,343,Software Engineer
Embibe,14.0,4.2,34,Data Scientist
NTT DATA,6.05,3.9,4,Quality Assurance
Axtria,9.0,3.5,60,Data Analyst
ABB,8.0,4.0,3,Quality Assurance
dunnhumby,12.1,4.3,22,Data Scientist
Siemens Digital Industries Software,12.0,4.4,303,Software Engineer
Quixy,7.5,4.2,4,Machine Learning Engineer
Myntra,22.0,4.0,18,Data Scientist
Urjanet,2.64,3.7,43,Data Analyst
Société Générale,18.5,3.7,36,Data Scientist
Biocon,4.4,3.7,10,Quality Assurance
Professional Data Analysts,3.85,4.1,56,Data Analyst
iNeuron,3.0,4.3,3,Machine Learning Engineer
Anonymous,8.22,3.7,20,Data Engineer
KPIT Technologies,5.95,3.9,668,Software Engineer
Oracle,10.0,3.8,16,Quality Assurance
Gland Pharma Limited,3.1,3.7,3,Quality Assurance
Optum,11.0,3.6,776,Software Engineer
Blackstraw,10.0,3.5,19,Data Scientist
Target,11.52,3.5,32,Data Analyst
Cognizant Technology Solutions,8.66,3.8,152,Data Scientist
Accolite Digital,8.0,3.6,373,Software Engineer
Shadowfax Technologies,5.0,4.2,27,Data Analyst
Ideapoke Technologies,4.5,4.0,5,Machine Learning Engineer
Twilio,26.0,3.7,5,Machine Learning Engineer
IBM,12.0,4.1,303,Data Scientist
WNS,2.5,3.4,4,Quality Assurance
D. E. Shaw India,16.0,4.1,3,Quality Assurance
Amazon,6.0,3.7,22,Data Engineer
Infosys,6.0,3.8,14,Machine Learning Engineer
LTIMindtree,12.99,3.5,22,Data Scientist
Ola,20.0,3.0,33,Data Scientist
Bajaj Finance,11.7,3.6,18,Data Scientist
HCL,4.0,3.6,329,Software Engineer
Siemens,11.25,4.2,20,Data Scientist
Futurense Technologies,8.0,3.9,37,Data Engineer
Informatica,9.0,3.9,5,Quality Assurance
OpenText,9.46,3.5,4,Quality Assurance
Deloitte,8.0,4.1,346,Software Engineer
Synechron,9.94,4.2,4,Quality Assurance
Tata Motors,10.8,4.1,3,Quality Assurance
NatWest Group,11.54,4.0,306,Software Engineer
DXC Technology,6.5,3.6,56,Data Engineer
Quantiphi,9.0,4.3,214,Data Engineer
Wipro,5.0,3.7,2939,Software Engineer
BYJU'S,5.74,3.2,94,Data Analyst
Mu Sigma,7.5,3.5,17,Data Engineer
